trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",30,10,16.749904863730233,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,7,-22.932682790217743,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",30,16,27.283900450683372,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",25,16,19.27839909363662,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",25,19,11.805103158226267,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",30,19,24.348478241152375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,9,18.759111934498108,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,31.982637924081512,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,17.981653090478602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,21.87323500013167,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,16.702247865107253,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,21.67404764025072,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,25.095468452834222,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,18.70702353530502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,16,26.514243307871574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,24.409288797021684,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
